kic,tmass_id,mass
3633152,19103603+3845504,0.978
3633335,19105070+3845294,2.119
3633751,19112682+3844591,1.437
3634224,19120814+3845066,1.221
3634488,19122853+3847306,1.207
3634720,19124737+3847265,1.838
3641504,19210314+3845259,1.227
3642038,19214128+3844323,1.484
3642135,19214848+3842568,1.927
3642837,19224091+3842420,1.220
3644223,19241848+3847170,1.225
3644958,19250786+3845203,1.526
3645232,19252341+3847094,0.975
3645589,19254511+3845510,1.234
3646127,19261742+3846367,1.232
3646628,19264901+3846016,1.029
3646933,19270827+3842115,1.030
3647215,19272686+3845036,1.000
3651360,19313909+3843409,1.259
3654437,19344966+3846370,2.116
3654897,19351709+3844414,1.288
3656231,19363361+3847186,1.442
3656240,19363399+3842024,2.201
3656761,19370537+3845482,1.348
3658136,19382435+3847454,0.908
3658812,19390001+3844371,0.967
3660374,19402287+3845318,1.449
3660498,19402963+3843100,0.976
3660554,19403284+3847210,1.452
3660820,19404571+3845426,1.221
3660976,19405526+3847465,2.456
3661182,19410581+3843339,0.875
3661266,19411010+3847127,1.367
3661494,19412154+3843123,1.092
3662233,19415752+3845044,0.967
3662283,19420013+3844497,2.788
3663047,19423515+3846510,1.165
3663200,19424202+3847430,2.101
3727412,18585299+3850414,1.189
3728936,19011484+3851068,1.649
3729141,19013821+3851232,0.911
3729799,19024540+3853198,1.286
3729833,19024877+3852416,1.355
3729884,19025459+3849340,1.314
3730125,19031998+3853489,0.874
3730689,19041909+3848224,1.721
3730854,19043345+3852267,1.178
3733028,19080055+3852026,1.540
3733209,19081590+3848366,0.830
3734104,19093644+3849232,1.214
3735269,19112461+3848276,1.128
3735447,19114091+3851537,1.094
3735699,19120285+3852014,1.041
3735912,19121933+3848348,1.499
3736289,19125144+3850261,1.827
3736401,19130164+3853182,0.988
3736477,19130861+3853507,0.837
3742673,19205111+3848386,1.442
3744043,19222743+3850529,1.198
3744681,19231435+3852566,2.315
3745153,19234679+3853099,1.747
3747777,19263999+3853246,1.566
3747860,19264567+3851090,1.183
3748691,19273465+3850493,1.654
3749487,19282356+3852186,1.471
3750613,19294090+3850214,0.912
3750614,19294097+3848242,1.034
3750783,19295160+3849186,2.252
3750891,19295885+3848030,1.170
3751222,19302086+3852154,1.449
3754895,19340370+3851576,1.049
3756174,19351322+3849006,1.157
3756180,19351358+3850244,1.196
3756737,19354478+3853341,1.190
3758458,19372526+3851425,2.465
3758505,19372862+3849032,1.553
3758731,19374321+3849021,2.917
3759654,19383697+3853306,1.956
3759696,19383925+3853473,0.673
3759814,19384625+3851324,1.234
3760337,19391906+3850197,1.360
3760664,19393895+3853201,1.125
3760843,19394895+3850557,2.204
3761660,19403179+3849414,1.153
3765190,19431934+3853069,1.026
3830833,18582992+3856541,2.108
3831992,19002068+3854582,1.645
3832147,19003512+3855104,1.377
3833180,19022032+3856583,1.043
3833399,19024305+3854594,1.446
3833455,19024921+3855353,1.009
3833819,19032549+3856334,1.235
3834190,19035788+3857041,1.179
3835454,19061091+3859181,1.068
3835996,19070488+3855567,1.128
3836105,19071604+3857433,1.300
3837107,19084996+3856477,2.168
3837488,19092632+3855459,0.971
3838075,19102163+3855184,1.294
3838180,19102983+3859037,1.313
3839294,19121270+3856165,1.070
3839310,19121456+3857235,1.013
3847071,19220223+3854251,1.213
3847667,19224550+3858334,1.190
3847697,19224762+3859230,1.177
3849027,19242133+3854402,0.823
3849527,19245740+3857182,1.624
3849996,19252892+3858022,0.865
3850744,19261974+3859443,2.110
3852304,19275812+3854060,0.883
3852384,19280270+3859534,2.042
3853555,19291750+3858311,1.701
3854943,19304278+3854561,1.693
3855003,19304754+3857182,1.240
3855032,19304907+3855555,1.138
3855039,19304950+3857218,1.094
3855126,19305588+3855263,1.170
3858714,19343604+3857272,1.781
3858850,19344399+3858565,0.842
3860139,19355873+3857327,1.824
3860176,19360089+3856475,2.010
3860179,19360107+3859431,1.070
3860253,19360616+3854028,1.711
3860550,19362331+3858390,2.226
3861797,19373667+3857118,1.028
3862485,19381848+3858427,1.824
3863402,19391040+3859460,1.805
3864625,19401745+3855170,1.272
3866315,19415008+3854099,1.379
3866844,19421314+3859390,1.120
3866912,19421686+3859004,1.344
3867193,19422941+3857457,1.314
3869326,19440792+3856121,2.051
3869394,19441113+3854308,1.582
3934343,18582372+3900150,1.114
3934458,18583476+3900115,1.289
3935651,19002752+3900305,1.038
3935987,19005919+3902510,1.133
3936047,19010531+3903502,2.025
3936823,19022902+3903485,0.828
3936921,19023934+3905592,1.029
3937022,19025174+3904151,1.086
3937075,19025708+3905139,1.113
3937217,19031206+3903066,1.110
3938291,19045945+3900266,1.603
3939679,19070654+3903388,1.343
3940854,19090448+3903344,1.453
3941538,19100701+3901564,0.738
3942203,19111335+3903138,1.155
3942500,19113755+3900297,1.206
3942701,19115665+3901274,1.062
3946389,19164612+3905171,1.342
3946701,19170711+3904391,1.664
3947121,19173913+3905558,0.978
3951748,19230348+3905107,1.056
3951839,19231072+3905568,1.588
3952315,19234505+3905371,0.884
3952656,19241087+3905426,1.355
3953057,19243949+3902417,1.108
3953330,19245831+3905478,0.933
3954000,19254393+3902229,1.422
3954327,19260622+3901447,1.480
3954348,19260772+3902588,0.984
3954671,19262845+3903096,1.670
3954766,19263462+3900082,1.562
3954770,19263483+3905105,2.197
3955590,19272677+3900456,1.046
3956513,19282019+3901304,1.013
3956793,19283780+3904503,1.175
3957521,19292494+3904112,1.015
3958400,19301845+3904562,2.089
3958463,19302269+3904401,1.222
3958615,19303237+3901286,0.865
3958725,19303946+3903509,1.183
3962670,19344238+3900339,1.307
3962731,19344628+3905555,1.117
3963653,19354117+3905542,1.974
3964632,19363882+3903516,1.156
3965225,19371567+3902334,1.130
3965502,19373121+3903381,1.479
3966952,19390009+3901414,1.346
3967300,19391946+3900222,1.452
3968119,19400714+3900216,1.201
3968545,19403116+3902291,1.178
3968764,19404277+3901305,1.301
3969220,19410715+3902080,0.894
3969841,19413796+3904013,1.084
3970053,19414750+3903508,1.120
3970223,19415537+3902207,1.325
3970635,19421432+3900208,1.153
3972675,19434613+3902066,1.044
3973247,19441130+3905143,1.178
3973328,19441493+3904146,1.381
3973813,19443759+3901102,1.495
3974120,19444962+3903154,2.087
3974163,19445164+3901343,2.244
4036007,18590060+3908481,1.488
4036300,18592624+3909431,1.317
4037216,19002258+3908388,1.039
4037915,19011332+3911585,1.767
4039306,19032027+3909475,1.100
4039831,19040553+3907060,1.409
4040211,19044200+3911182,1.338
4041405,19063068+3909078,0.962
4041406,19063073+3909438,2.109
4041741,19070406+3907318,1.164
4042300,19075278+3910273,1.547
4042863,19084656+3908428,1.087
4042951,19085447+3908037,0.963
4042977,19085669+3906498,1.593
4043008,19085897+3910215,1.374
4043436,19093617+3906310,1.073
4044855,19114610+3909376,1.468
4048951,19170362+3910511,1.108
4054771,19233148+3910310,1.162
4054905,19234054+3910116,1.007
4055294,19241086+3907357,1.608
4056079,19250427+3907044,1.691
4056266,19251710+3906201,2.167
4056281,19251825+3909251,1.737
4056365,19252402+3910201,1.234
4057076,19261031+3909036,1.562
4057744,19265273+3906334,1.661
4058004,19271049+3908441,1.453
4059499,19283977+3907463,1.215
4060545,19294498+3906374,1.714
4060807,19295869+3908093,1.035
4063998,19331535+3911411,1.294
4064179,19332703+3909019,1.805
4065054,19342059+3911303,2.193
4065939,19351511+3907121,1.050
4065977,19351719+3907332,1.235
4065994,19351832+3910203,1.244
4066278,19353433+3907055,1.395
4066846,19360568+3906061,1.518
4068048,19371647+3906355,1.208
4069447,19383611+3910000,1.273
4070631,19394529+3909063,0.994
4070714,19394925+3907298,1.787
4070746,19395150+3909100,1.619
4070891,19395992+3909377,1.529
4071104,19401103+3909349,1.323
4071379,19402531+3911272,2.728
4071396,19402643+3907306,1.379
4072847,19414610+3909441,1.329
4074796,19431642+3909149,1.176
4075610,19435491+3907225,1.069
4077249,19451356+3910323,1.290
4077835,19454030+3908054,1.981
4135933,18584130+3917235,1.609
4136374,18592010+3912373,1.805
4136835,18595244+3917513,1.516
4137210,19002049+3914595,1.395
4139784,19041566+3913194,1.399
4139805,19041820+3917094,1.984
4139914,19042759+3913355,1.226
4140726,19054715+3912431,1.602
4140796,19055291+3915495,1.093
4141483,19065693+3917114,1.319
4141488,19065715+3913361,1.082
4141698,19071570+3915180,1.109
4141815,19072538+3915428,1.623
4142229,19080598+3917448,1.607
4143460,19101154+3914584,1.615
4143467,19101186+3917181,0.937
4144103,19110880+3917375,1.257
4144300,19112610+3912180,1.011
4147993,19160346+3914372,1.396
4149966,19181793+3915177,2.079
4157276,19261062+3916281,1.619
4157282,19261103+3913424,1.557
4157786,19264071+3912353,1.267
4164464,19325677+3912058,1.158
4164910,19332189+3912064,1.325
4165109,19333417+3917147,1.744
4168909,19365930+3913582,1.238
4169130,19371105+3916514,1.445
4169517,19373168+3913481,1.952
4171788,19393367+3912426,1.250
4172283,19395925+3912392,1.302
4173334,19405659+3913419,1.812
4174996,19421503+3916378,1.031
4175481,19423798+3913237,1.363
4177025,19434309+3917436,0.802
4241369,18584517+3919401,1.949
4242705,19003627+3919470,0.990
4243284,19013015+3921055,1.000
4243486,19014807+3922181,1.199
4243796,19021801+3923330,1.265
4243803,19021841+3921543,2.944
4244274,19030367+3920086,1.276
4244973,19040802+3919394,2.409
4245297,19044173+3923092,1.033
4246729,19065249+3918298,1.221
4247455,19080789+3921555,2.183
4248158,19091318+3923347,0.848
4249128,19104300+3918364,1.450
4249279,19105489+3920476,1.242
4249357,19110008+3922263,1.164
4252080,19144326+3922513,1.125
4252461,19151317+3918184,1.240
4253429,19162460+3919066,1.191
4260884,19245193+3919487,2.617
4261170,19250985+3920011,1.211
4261269,19251657+3923443,1.488
4261881,19255330+3918050,1.028
4262061,19260302+3920314,1.581
4262239,19261400+3923283,1.316
4262252,19261457+3918088,1.251
4262505,19263055+3919247,1.366
4262667,19263976+3920031,1.002
4263884,19275160+3921030,1.295
4269096,19325858+3920253,1.133
4269145,19330125+3922579,0.919
4269391,19331611+3919030,1.494
4269825,19334226+3918542,1.102
4270423,19341734+3920444,0.935
4271039,19345154+3921379,1.034
4273491,19370733+3922256,3.063
4275434,19384992+3922582,2.047
4275625,19385957+3918194,1.398
4276070,19392245+3920266,1.788
4276837,19400531+3918560,1.264
4277451,19403703+3919491,1.409
4279009,19415577+3919361,1.075
4279165,19420353+3921441,1.743
4279700,19422931+3920196,1.363
4280251,19425669+3919035,1.377
4280424,19430400+3922395,1.552
4281490,19435178+3921158,1.894
4281702,19440356+3918311,1.127
4281847,19441050+3921211,2.273
4282111,19442200+3923091,2.904
4283451,19452429+3921440,2.101
4283517,19452669+3921273,1.045
4284099,19455453+3919263,2.292
4284281,19460242+3920092,1.666
4284581,19461579+3919057,1.226
4345370,18593517+3926488,0.943
